ID,Prompt,R.Manual,SQL.Manual,Python.Manual,Category,Tables
1,"Return the highest average amount per transaction for the ""2021 Q1"" quarter.","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max",lessQuarters,lessQuarters
1,What is the maximum average transaction amount for the 2021 Q1 quarter?,"lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max",lessQuarters,lessQuarters
1,Could you provide the highest average transaction amount for the quarter labeled 2021 Q1?,"lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max",lessQuarters,lessQuarters
1,Identify the maximum value of average transaction amount during the 2021 Q1 quarter.,"lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max",lessQuarters,lessQuarters
1,"For the 2021 Q1 quarter, retrieve the maximum value in the averageAmountPerTransaction column.","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max","lessQuarters %>% filter(quarter == ""2021 Q1"") %>% select(averageAmountPerTransaction) %>% max",lessQuarters,lessQuarters
2,Give me all the users who have never liquidated or been liquidated,lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters,lessQuarters
2,Provide data on users with zero history of either performing liquidations or being subjected to them.,lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters,lessQuarters
2,Is there a way to access the data of users who've never been involved in liquidation?,lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters,lessQuarters
2,Show me users where the count of both liquidations performed and being liquidated is zero.,lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters,lessQuarters
2,"I need to see the list of users without any liquidation actions, neither active nor passive.",lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters %>% filter(liquidationsPerformedCount == 0) %>% filter(liquidatedCount == 0) %>% select(user),lessQuarters,lessQuarters
3,Find the difference in average deposit amounts between new users who are smart contracts and new users who aren't,"deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])",lessQuarters,lessQuarters
3,"Compute the difference between the mean of deposit values for new users identified as smart contracts and new users who aren't, within the lessQuarters data frame.","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])",lessQuarters,lessQuarters
3,What is the disparity in the average deposited sums of new smart contract users versus those of the new users without smart contracts?,"deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])",lessQuarters,lessQuarters
3,Delineate the disparity in average deposits between newcomers using smart contracts and those who aren't,"deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])",lessQuarters,lessQuarters
3,"In lessQuarters, calculate the dissimilarity in the mean deposit values between new users classified as smart contracts as opposed to those who are not.","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])","deposit_means <- lessQuarters %>% filter(as.logical(newUser)) %>% group_by(smartContract) %>% summarize(average_deposits = mean(depositValue)); abs(deposit_means[2,2] - deposit_means[1,2])",lessQuarters,lessQuarters
4,Get the number of active days for the 10 entries with the highest number of repays,lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters,lessQuarters
4,Find the 'activeDays' for the top 10 entries sorted by 'repayCount' in descending order.,lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters,lessQuarters
4,I need the active days of the entries with the highest 10 repay counts.,lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters,lessQuarters
4,Could you show me the number of active days for the 10 best 'repayCount' records?,lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters,lessQuarters
4,Identify the 'activeDays' for the 10 records with the most repays.,lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters %>% arrange(desc(repayCount)) %>% select(activeDays) %>% slice(1:10),lessQuarters,lessQuarters
5,In which quarter was the total average value of withdraws the lowest?,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,Can you identify the quarter with the least average total withdrawal value?,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,Could you figure out the quarter that recorded the lowest overall average in withdraws?,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,I need to know the quarter during which withdrawals averaged to the smallest total value.,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
5,Please provide information on the quarter that had the smallest mean amount for withdrawals.,lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters %>% group_by(quarter) %>% summarize(mean_withdraw = mean(withdrawValue)) %>% arrange(mean_withdraw) %>% slice(1) %>% pull(quarter),lessQuarters,lessQuarters
6,Was the highest-liquidated user a new user?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Did the user having the highest liquidation bear the status of a newcomer?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Is the user who was liquidated at the top classified as a newbie?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Confirm whether we categorize the user with the profoundest liquidation as a newcomer.,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
6,Is it the case that the most heavily liquidated person was brand new to our platform?,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters %>% arrange(desc(liquidatedCount)) %>% slice(1) %>% pull(newUser) %>% as.logical,lessQuarters,lessQuarters
7,Make a data frame that consists of only the user and quarter columns along with all columns relating to liquidation,"lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"Construct a new data frame which extracts columns 'user', 'quarter' and all liquidation-related columns from the lessQuarters data frame.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"From the lessQuarters data frame, filter out the data pertaining to 'user', 'quarter' and any other columns that are associated with liquidation, then create a new data frame with this data.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"Create a derived data frame from the lessQuarters data frame with only the 'user', 'quarter' and all liquidation-related columns.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
7,"Pick the 'user', 'quarter' and all liquidation-related columns from the lessQuarters data frame and put them in a separate data frame.","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)","lessQuarters %>% select(user, quarter, liquidationsPerformedValue, liquidationsPerformedCount, liquidatedCount, liquidatedValue)",lessQuarters,lessQuarters
8,Find the average amount in transactions made by the alias who made the most transactions,lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
8,Calculate the mean value of transactions made by the alias associated with the most transaction counts.,lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
8,"Execute a mean computation on the transaction amounts, selecting those carried out by the topmost active alias.",lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
8,What's the average transaction sum for the user alias who has conducted the most transactions?,lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),lessTrans %>% filter(userAlias == lessTrans$userAlias %>% fct_infreq %>% levels %>% '['(1)) %>% pull(amount) %>% mean(na.rm = TRUE),transaction,lessTrans
